Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12",0603,3,0.1u,
"C11, C7",0603,2,10n,
C13,1206,1,1000p,
"C2, C3, C5, C6",1206,4,10u,
C4,0603,1,100p,
"C8, C9",0805,2,1u,
D1,D_SOD-123HE_PZ1AHxxxB-AU,1,PZ1AH11B-AU,
"D2, D3",D_PowerDI-123_DFLZxxQ,2,DFLZ24Q-7,
D4,0603,1,LED,
F1,Fuse_0ABB,1,0ABB-1000-TM,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,M3,
"J1, J3, J4",Connector_BM02B-PASS-1-TF,3,BM02B-PASS-1-TF,
J2,Connector_MX150L_19427-0040,1,19427-0040,
Q1,Package_SOT-23_DMP3098LQ-7,1,DMP3098LQ-7,
"Q2, Q3, Q4",Package_SOT-23_2N7002K-AU,3,2N7002K-AU,
"R1, R28, R29, R31, R35",0603,5,100k,
R10,0603,1,15.4k,
R11,0603,1,4.3k,
"R12, R18, R24, R25, R27",0603,5,10k,
"R13, R14, R15, R16, R17, R19, R20, R21, R22, R23",R_TEConnectivity_3502,10,15k,
"R2, R3, R4, R5, R6, R7, R8, R9",R_VishayDale_RCC1206-e3,8,220k,
R26,0603,1,180k,
R30,0603,1,51k,
"R32, R36, R38",0603,3,100,
R33,1206,1,1M,
"R34, R40",0603,2,1M,
"R37, R39",0603,2,0,
U1,Package_SOT-23-5_TL431QDBVR,1,TL431QDBVR,
U2,"Isolator_TLP291(GB,SE",1,"TLP291(GB,SE",
U3,Package_SOIC-8_3.9x4.9mm_P1.27mm_TLC555QDRQ1,1,TLC555QDRQ1,
U4,Package_SOT-23-5_NCV20071SN2T1G,1,NCV20071SN2T1G,
